character,description,runtime,imdb_score,imdb_votes,title,tmdb_score,animation,comedy,crime,documentation,drama,family,fantasy,history,horror,music,reality,romance,scifi,sport,thriller,war,western,AU,BR,CA,CAUS,CL,CN,CO,DE,DK,EG,ES,FR,GB,GBUS,HK,ID,IL,IN,IT,JP,KR,MX,MY,NG,NL,Other_countries,PH,PL,SE,TH,TR,TW,US,USGB,XX,ZA,Shah_Rukh_Khan,Boman_Irani,Kareena_Kapoor_Khan,Aamir_Khan,Yuki_Kaji,Priyanka_Chopra_Jonas,Junichi_Suwabe,Nawazuddin_Siddiqui,Kenjiro_Tsuda,Rani_Mukerji,Amitabh_Bachchan,Grey_DeLisle,Anupam_Kher,Maaya_Sakamoto,Naseeruddin_Shah,Fred_Tatasciore,Takahiro_Sakurai,Kari_Wahlgren,John_Abraham,Akshay_Kumar,Donald_Trump,Brijendra_Kala,Murali_Sharma,Om_Puri,Takehito_Koyasu,Tiffany_Haddish,John_Paul_Tremblay,Terry_Jones,Fred_Armisen,Robb_Wells,Tabu,Rajkummar_Rao,Mike_Smith,Mamoru_Miyano,Paresh_Rawal,Ajay_Devgn,Kevin_Michael_Richardson,Ranbir_Kapoor,Kappei_Yamaguchi,Nassar,Pankaj_Tripathi,John_Cleese,Mariya_Ise,Ron_Funches,Anil_Kapoor,Chris_Parnell,Hiroaki_Hirata,Johnny_Lever,Rishi_Kapoor,Adam_Sandler,Kim_Mi-kyeong,Tara_Strong,Ken_Jeong,Koichi_Yamadera,Daisuke_Ono,Sharat_Saxena,Abhishek_Bachchan,Yoshimasa_Hosoya,Carlos_Alazraqui,Saori_Hayami,Michael_Palin,Hochu_Otsuka,Eric_Idle,Jackie_Sandler,Konkona_Sen_Sharma,Kajol,Irrfan_Khan,Natsuki_Hanae,Michelle_Buteau,Eric_Bauza,Jane_Fonda,Deepika_Padukone,Akio_Otsuka,Aditi_Rao_Hydari,Kana_Hanazawa,Ikue_Otani,Dee_Bradley_Baker,Kensho_Ono,Kazuhiko_Inoue,Patrick_Roach,Jared_Sandler,Jun_Fukuyama,Joross_Gamboa,Kevin_Hart,Terry_Gilliam,Keegan-Michael_Key,Vir_Das,Kathryn_Bernardo,Jason_Schwartzman,Shahid_Kapoor,Vijay_Raaz,Sonam_Kapoor,Adil_Hussain,Nobunaga_Shimazaki,Manisha_Koirala,Ashleigh_Ball,Aoi_Yuki,Koji_Yusa,Tomokazu_Sugita,Graham_Chapman,Other_actors
"Oh Joon-woo, Kim Yoo-bin, Sang-chul, Elena Kim, Joon-woo's Father, Joon-woo's Mother, Joon-woo's Sister, Masked Man, Masked Man’s Wife, Police, Firefighter, Security Guard Infectee, Fat Infectee, Ramen Commercial Model, Sweater Middle-Aged Woman, Veranda Glass Door Man, SART1, SNS Man, Student's Mother","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",98.0,6.3,38313.0,#Alive,7.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Narrator, Self, Self, Self","One single Anne Frank moves us more than the countless others who suffered just as she did but whose faces have remained in the shadows-Primo Levi. The Oscar®-winning Helen Mirren will introduce audiences to Anne Frank's story through the words in her diary. The set will be her room in the secret refuge in Amsterdam, reconstructed in every detail by set designers from the Piccolo Theatre in Milan. Anne Frank this year would have been 90 years old. Anne's story is intertwined with that of five Holocaust survivors, teenage girls just like her, with the same ideals, the same desire to live: Arianna Szörenyi, Sarah Lichtsztejn-Montard, Helga Weiss and sisters Andra and Tatiana Bucci. Their testimonies alternate with those of their children and grandchildren.",92.0,6.5,1548.0,#AnneFrank. Parallel Stories,7.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ditto, Ayu, Darma, Mili, Dila, Rifnu, Aca, Iqbaal, Ditto's Mother, Ditto's Father, Ayu's Mother, Diko, Ayu (Little), Ditto (Little), Abe, Iqbal, Herself, Himself, Music Engineer, Floor Director, Ayu's Acting Opponent, Director, Headman, Mila's Friend #1, Mila's Friend #2, Mila's Friend #3, Concert Crew, Himself, Herself","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",102.0,6.8,714.0,#FriendButMarried,6.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ditto, Ayu, Ayu's Mother, Ditto's Mother, Ditto's Father, Diko, Sarah Sechan, Joel, Rio, Kitut, Ade, Zabilla, Jacqueline, Mrs. Robin, Female Doctor in Jakarta, Male Doctor in Jakarta, Doctor in Bali, Yoga Instructor, Sekala (Baby), Herself, Himself","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",104.0,6.9,311.0,#FriendButMarried 2,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dani Barnes, Cameron Drake, Alexa Medina, Freddie Myers, Holly, Dr. Fiona Shively, Principal Dixon, Lana Drake, Broussard, Big Jim, Karl Hurwitz, Alfred, Shannon, Miguel, Vinny, Mrs. Barnes, Mr. Barnes, Taylor Barnes, Kimmy, Mr. Drake, Freddie's Grandmother, Mrs. Savage, Kid Ink, Eugene the Camera Guy, Vinny's Mom, Adriana Medina, 0-Year-Old Alexa, Cheerleader / Dancer, Cheerleader / Dancer, Cheerleader / Dancer","When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",99.0,5.1,6357.0,#realityhigh,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Suzy, Captain Dewa, Kite Boy, Clara, Ikenna, Angelina, Major Gomos, Colonel Aliu, Lt. Asumata","Nollywood superstars Ramsey Nouah, Rita Dominic, and Chidi Mokeme headline this gripping drama set against the backdrop of the attempted 1976 military coup against the government of General Murtala Mohammed.",118.0,5.6,227.0,'76,7.199999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Crown Prince Lee Yool / Won-deuk, Hong-sim / Yoon Yi-seo, Kim Cha-eon, King, Queen Park, Prince Seowon, Jung Je-yoon, Hong-sim's stepfather, Kim So-hye, Kim Soo-Ji, Moo-yeon, Eunuch Yang, Lord Park Sun-do, Goo-Dol, Kkeut-Nyeo, Park Bok-eun, Lee Yool (young), Hong-sim / Yoon Yi-seo (young), Dong-joo","Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",75.0,7.7,2068.0,100 Days My Prince,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Human #64, Human #28, Human #84, Human #90, Human #72","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",37.0,5.7,4055.0,100 Humans: Life's Questions. Answered.,6.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ramón, Inma, Manolo, Noelia, Mario, Becaria Lili, Bernat, Dra. Berta, Monitor, Marcos, Jefa de Ramón, Ariadna","Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",108.0,7.5,6248.0,100 Meters,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Himself, Herself","During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star. - Netflix.",82.0,7.9,299.0,100 días con la Tata,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
